18.0,3504
15.0,3693
18.0,3436
16.0,3433
17.0,3449
15.0,4341
14.0,4354
14.0,4312
14.0,4425
15.0,3850
15.0,3563
14.0,3609
15.0,3761
14.0,3086
24.0,2372
22.0,2833
18.0,2774
21.0,2587
27.0,2130
26.0,1835
25.0,2672
24.0,2430
25.0,2375
26.0,2234
21.0,2648
10.0,4615
10.0,4376
11.0,4382
9.0,4732
27.0,2130
28.0,2264
25.0,2228
25.0,2046
19.0,2634
16.0,3439
17.0,3329
19.0,3302
18.0,3288
14.0,4209
14.0,4464
14.0,4154
14.0,4096
12.0,4955
13.0,4746
13.0,5140
18.0,2962
22.0,2408
19.0,3282
18.0,3139
23.0,2220
28.0,2123
30.0,2074
30.0,2065
31.0,1773
35.0,1613
27.0,1834
26.0,1955
24.0,2278
25.0,2126
23.0,2254
20.0,2408
21.0,2226
13.0,4274
14.0,4385
15.0,4135
14.0,4129
17.0,3672
11.0,4633
13.0,4502
12.0,4456
13.0,4422
19.0,2330
15.0,3892
13.0,4098
13.0,4294
14.0,4077
18.0,2933
22.0,2511
21.0,2979
26.0,2189
22.0,2395
28.0,2288
23.0,2506
28.0,2164
27.0,2100
13.0,4100
14.0,3672
13.0,3988
14.0,4042
15.0,3777
12.0,4952
13.0,4464
13.0,4363
14.0,4237
13.0,4735
12.0,4951
13.0,3821
18.0,3121
16.0,3278
18.0,2945
18.0,3021
23.0,2904
26.0,1950
11.0,4997
12.0,4906
13.0,4654
12.0,4499
18.0,2789
20.0,2279
21.0,2401
22.0,2379
18.0,2124
19.0,2310
21.0,2472
26.0,2265
15.0,4082
16.0,4278
29.0,1867
24.0,2158
20.0,2582
19.0,2868
15.0,3399
24.0,2660
20.0,2807
11.0,3664
20.0,3102
21.0,2875
19.0,2901
15.0,3336
31.0,1950
26.0,2451
32.0,1836
25.0,2542
16.0,3781
16.0,3632
18.0,3613
16.0,4141
13.0,4699
14.0,4457
14.0,4638
14.0,4257
29.0,2219
26.0,1963
26.0,2300
31.0,1649
32.0,2003
28.0,2125
24.0,2108
26.0,2246
24.0,2489
26.0,2391
31.0,2000
19.0,3264
18.0,3459
15.0,3432
15.0,3158
16.0,4668
15.0,4440
16.0,4498
14.0,4657
17.0,3907
16.0,3897
15.0,3730
18.0,3785
21.0,3039
20.0,3221
13.0,3169
29.0,2171
23.0,2639
20.0,2914
23.0,2592
24.0,2702
25.0,2223
24.0,2545
18.0,2984
29.0,1937
19.0,3211
23.0,2694
23.0,2957
22.0,2945
25.0,2671
33.0,1795
28.0,2464
25.0,2220
25.0,2572
26.0,2255
27.0,2202
17.5,4215
16.0,4190
15.5,3962
14.5,4215
22.0,3233
22.0,3353
24.0,3012
22.5,3085
29.0,2035
24.5,2164
29.0,1937
33.0,1795
20.0,3651
18.0,3574
18.5,3645
17.5,3193
29.5,1825
32.0,1990
28.0,2155
26.5,2565
20.0,3150
13.0,3940
19.0,3270
19.0,2930
16.5,3820
16.5,4380
13.0,4055
13.0,3870
13.0,3755
31.5,2045
30.0,2155
36.0,1825
25.5,2300
33.5,1945
17.5,3880
17.0,4060
15.5,4140
15.0,4295
17.5,3520
20.5,3425
19.0,3630
18.5,3525
16.0,4220
15.5,4165
15.5,4325
16.0,4335
29.0,1940
24.5,2740
26.0,2265
25.5,2755
30.5,2051
33.5,2075
30.0,1985
30.5,2190
22.0,2815
21.5,2600
21.5,2720
43.1,1985
36.1,1800
32.8,1985
39.4,2070
36.1,1800
19.9,3365
19.4,3735
20.2,3570
19.2,3535
20.5,3155
20.2,2965
25.1,2720
20.5,3430
19.4,3210
20.6,3380
20.8,3070
18.6,3620
18.1,3410
19.2,3425
17.7,3445
18.1,3205
17.5,4080
30.0,2155
27.5,2560
27.2,2300
30.9,2230
21.1,2515
23.2,2745
23.8,2855
23.9,2405
20.3,2830
17.0,3140
21.6,2795
16.2,3410
31.5,1990
29.5,2135
21.5,3245
19.8,2990
22.3,2890
20.2,3265
20.6,3360
17.0,3840
17.6,3725
16.5,3955
18.2,3830
16.9,4360
15.5,4054
19.2,3605
18.5,3940
31.9,1925
34.1,1975
35.7,1915
27.4,2670
25.4,3530
23.0,3900
27.2,3190
23.9,3420
34.2,2200
34.5,2150
31.8,2020
37.3,2130
28.4,2670
28.8,2595
26.8,2700
33.5,2556
41.5,2144
38.1,1968
32.1,2120
37.2,2019
28.0,2678
26.4,2870
24.3,3003
19.1,3381
34.3,2188
29.8,2711
31.3,2542
37.0,2434
32.2,2265
46.6,2110
27.9,2800
40.8,2110
44.3,2085
43.4,2335
36.4,2950
30.0,3250
44.6,1850
40.9,1835
33.8,2145
29.8,1845
32.7,2910
23.7,2420
35.0,2500
23.6,2905
32.4,2290
27.2,2490
26.6,2635
25.8,2620
23.5,2725
30.0,2385
39.1,1755
39.0,1875
35.1,1760
32.3,2065
37.0,1975
37.7,2050
34.1,1985
34.7,2215
34.4,2045
29.9,2380
33.0,2190
34.5,2320
33.7,2210
32.4,2350
32.9,2615
31.6,2635
28.1,3230
30.7,3160
25.4,2900
24.2,2930
22.4,3415
26.6,3725
20.2,3060
17.6,3465
28.0,2605
27.0,2640
34.0,2395
31.0,2575
29.0,2525
27.0,2735
24.0,2865
23.0,3035
36.0,1980
37.0,2025
31.0,1970
38.0,2125
36.0,2125
36.0,2160
36.0,2205
34.0,2245
38.0,1965
32.0,1965
38.0,1995
25.0,2945
38.0,3015
26.0,2585
22.0,2835
32.0,2665
36.0,2370
27.0,2950
27.0,2790
44.0,2130
32.0,2295
28.0,2625
31.0,2720
